Taxon	HC.F1	HC.F2	HC.F3	HC.F4	HC.F5	Glut.F1	Glut.F2	Glut.F3	Glut.F5	Chow.F1	Chow.F2	Chow.F3	Chow.KO.F2	Chow.M1	Chow.M2	Chow.KO.M2
Unassigned;Other;Other;Other;Other	0.00142812884896	0.0010291566725	0.00139653405639	0.00129180845802	0.00146978299086	0.000226014238897	0.00021725577617	0.000368128272251	0.00166064177729	0.000912672935786	0.000761984243254	0.000778248774672	0.00254643149165	0.000896226415094	0.001515489191	0.000917652365288
k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.00165303307955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae	0.0	0.0	9.06840296355e-06	0.0	7.20481858267e-06	0.000472575226785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae	7.55623729608e-06	0.0	0.0	0.0	0.0	0.0	0.0	1.36343804538e-05	0.0	0.0	4.53562049556e-06	0.0	0.0	0.0	0.0	1.55534299201e-05
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Pseudonocardiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.000122796743053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae	0.195207834307	0.0638492119482	0.229657305052	0.105072009094	0.0774734142194	0.000410934979813	0.000443957455651	2.04515706806e-05	0.0	2.51771844355e-05	2.26781024778e-05	4.13962114187e-05	3.89362613402e-05	0.0204339622642	0.0128593715177	0.000101097294481
k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae	0.000287137017251	0.000224090565787	9.06840296355e-05	0.000339561080395	0.000129686734488	1.02733744953e-05	0.00065176732851	2.04515706806e-05	2.02517289914e-05	0.000327303397661	0.000408205844601	0.00120876937343	0.000482809640618	0.000367924528302	0.000512591932249	0.000933205795208
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;Other	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.55745045361e-05	0.0	0.0	0.0
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae	0.00144324132355	0.000995958070165	0.00106100314674	0.00116631849353	0.00135450589354	0.031755000565	0.0638070768708	0.0025359947644	0.000860698482133	0.0014917481778	0.001528504107	0.000918995893496	0.00534984230814	0.000820754716981	0.00110690141891	0.00114317709913
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae	2.26687118882e-05	0.0	0.0	2.21452878518e-05	6.4843367244e-05	0.00194166777962	0.00810458504147	9.54406631763e-05	1.01258644957e-05	0.0	2.26781024778e-05	8.27924228375e-06	0.0	0.0	0.0	3.11068598403e-05
